Age Group (copy),Age Group,label position,Female,Age group label,age,Calculation1,Female  ,Male,Number of Records,Year,label
0 to 4,0 to 4,,321K,0 to 4,,0,321K,338K,1,1951,
5 to 9,5 to 9,,269K,,,5,269K,280K,1,1951,
10 to 14,10 to 14,,232K,10 to 14,,10,232K,238K,1,1951,
15 to 19,15 to 19,,246K,,,15,246K,197K,1,1951,
20 to 24,20 to 24,,298K,20 to 24,,20,298K,255K,1,1951,
25 to 29,25 to 29,,334K,,,25,334K,314K,1,1951,
30 to 34,30 to 34,,313K,30 to 34,,30,313K,295K,1,1951,
35 to 39,35 to 39,,345K,,,35,345K,326K,1,1951,
40 to 44,40 to 44,,346K,40 to 44,,40,346K,330K,1,1951,
45 to 49,45 to 49,,320K,,,45,320K,302K,1,1951,
50 to 54,50 to 54,,294K,50 to 54,,50,294K,249K,1,1951,
55 to 59,55 to 59,,254K,,,55,254K,204K,1,1951,
60 to 64,60 to 64,,226K,60 to 64,,60,226K,172K,1,1951,
65 to 69,65 to 69,,195K,,,65,195K,136K,1,1951,
70 to 74,70 to 74,,152K,70 to 74,,70,152K,98K,1,1951,
75 to 79,75 to 79,-510000,102K,,,75,102K,61K,1,1951,
80 to 84,80 to 84,,54K,80 to 84,,80,54K,27K,1,1951,
85 and up,85 and up,,27K,,,85,27K,10K,1,1951,
0 to 4,0 to 4,,268K,0 to 4,,0,268K,281K,1,1961,
5 to 9,5 to 9,,234K,,,5,234K,244K,1,1961,
10 to 14,10 to 14,,284K,10 to 14,,10,284K,298K,1,1961,
15 to 19,15 to 19,,277K,,,15,277K,268K,1,1961,
20 to 24,20 to 24,,289K,20 to 24,,20,289K,268K,1,1961,
25 to 29,25 to 29,,257K,,,25,257K,270K,1,1961,
30 to 34,30 to 34,,258K,30 to 34,,30,258K,261K,1,1961,
35 to 39,35 to 39,,286K,,,35,286K,276K,1,1961,
40 to 44,40 to 44,,277K,40 to 44,,40,277K,260K,1,1961,
45 to 49,45 to 49,,313K,,,45,313K,291K,1,1961,
50 to 54,50 to 54,,314K,50 to 54,,50,314K,296K,1,1961,
55 to 59,55 to 59,,282K,,,55,282K,260K,1,1961,
60 to 64,60 to 64,,241K,60 to 64,,60,241K,193K,1,1961,
65 to 69,65 to 69,,197K,,,65,197K,133K,1,1961,
70 to 74,70 to 74,,162K,70 to 74,,70,162K,95K,1,1961,
75 to 79,75 to 79,-510000,121K,,,75,121K,62K,1,1961,
80 to 84,80 to 84,,72K,80 to 84,,80,72K,32K,1,1961,
85 and up,85 and up,,41K,,,85,41K,15K,1,1961,
0 to 4,0 to 4,,260K,0 to 4,,0,260K,272K,1,1971,
5 to 9,5 to 9,,267K,,,5,267K,279K,1,1971,
10 to 14,10 to 14,,237K,10 to 14,,10,237K,247K,1,1971,
15 to 19,15 to 19,,241K,,,15,241K,238K,1,1971,
20 to 24,20 to 24,,335K,20 to 24,,20,335K,319K,1,1971,
25 to 29,25 to 29,,263K,,,25,263K,263K,1,1971,
30 to 34,30 to 34,,219K,30 to 34,,30,219K,228K,1,1971,
35 to 39,35 to 39,,206K,,,35,206K,212K,1,1971,
40 to 44,40 to 44,,224K,40 to 44,,40,224K,218K,1,1971,
45 to 49,45 to 49,,248K,,,45,248K,234K,1,1971,
50 to 54,50 to 54,,240K,50 to 54,,50,240K,221K,1,1971,
55 to 59,55 to 59,,259K,,,55,259K,237K,1,1971,
60 to 64,60 to 64,,244K,60 to 64,,60,244K,221K,1,1971,
65 to 69,65 to 69,,202K,,,65,202K,159K,1,1971,
70 to 74,70 to 74,,161K,70 to 74,,70,161K,96K,1,1971,
75 to 79,75 to 79,-510000,119K,,,75,119K,62K,1,1971,
80 to 84,80 to 84,,77K,80 to 84,,80,77K,28K,1,1971,
85 and up,85 and up,,55K,,,85,55K,14K,1,1971,
0 to 4,0 to 4,,186K,0 to 4,,0,186K,195K,1,1981,
5 to 9,5 to 9,,183K,,,5,183K,192K,1,1981,
